group1,group2,t_statistic,p_value,p_adjusted,significant
anthropic,google,0.8486458289708683,0.3967550536828785,0.5410296186584707,False
anthropic,meta,1.0779158793795078,0.2819389648884233,0.5410296186584707,False
anthropic,neutral,-0.2068016715788576,0.8363052616787193,0.9186024051438374,False
anthropic,none,-1.109622543977989,0.26805199235297505,0.5410296186584707,False
anthropic,openai,-0.028483264062234573,0.9772956562369823,0.9772956562369823,False
google,meta,0.2136094241348233,0.8309969673048814,0.9186024051438374,False
google,neutral,-1.0388754543297494,0.29970094076339576,0.5410296186584707,False
google,none,-1.9427707578125215,0.0529814392226409,0.39736079416980674,False
google,openai,-0.8814745306059968,0.37876671961169806,0.5410296186584707,False
meta,neutral,-1.26651806636597,0.20631705761035696,0.5410296186584707,False
meta,none,-2.186581458433089,0.02955124278070285,0.39736079416980674,False
meta,openai,-1.1126619671652043,0.26674546841828756,0.5410296186584707,False
neutral,none,-0.8857733431897113,0.37644912602051334,0.5410296186584707,False
neutral,openai,0.17988799544357173,0.8573622448009148,0.9186024051438374,False
none,openai,1.0870691517770128,0.27788129640778747,0.5410296186584707,False
